kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,9488035570,278,-278,1705387500,2160,-2160,1460,3180,-1460,295750,8190,-8190,6160000,19500,-19500,2.26,260,-150,793.0,,,93.59,29.45,-16.65,35.80,1,q1_q17_dr25_tce,5455.00,81.00,-81.00,4467,64,-96,9270,1050,-610,291934230,48141651,15347
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,9690,0,0,0,0,54418382700,2480,-2480,1625138400,3520,-3520,5860,590,-4430,450700,11600,-11600,8750000,35500,-35500,2.83,320,-190,443.0,,,9.11,2.87,-1.62,25.80,2,q1_q17_dr25_tce,5455.00,81.00,-81.00,4467,64,-96,9270,1050,-610,291934230,48141651,15347
10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19899139950,149,-149,1758502520,581,-581,9690,5.1260,-770,178220,3410,-3410,108000000,171000,-171000,14.60,3920,-1310,638.0,,,39.30,31.04,-10.49,76.30,1,q1_q17_dr25_tce,5853.00,158.00,-176.00,4544,44,-176,8680,2330,-780,297004820,48134129,15436
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1736952453,"2,63","-2,63",1703075650,115,-115,1.2760,1150,-920,240641,537,-537,80800000,12800,-12800,33.46,8500,-2830,1395.0,,,891.96,668.95,-230.35,505.60,1,q1_q17_dr25_tce,5805.00,157.00,-174.00,4564,53,-168,7910,2010,-670,285534610,48285210,15597
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,2525591777,"37,6","-37,6",1715955500,1130,-1130,7010,2350,-4780,165450,4200,-4200,6030000,16900,-16900,2.75,880,-350,1406.0,,,926.16,874.33,-314.24,40.90,1,q1_q17_dr25_tce,6031.00,169.00,-211.00,4438,70,-210,1.0460,3340,-1330,288754880,48226200,15509
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,11094320540,204,-204,1712011600,1410,-1410,5380,300,-4280,459450,6100,-6100,15200000,24200,-24200,3.90,1270,-420,835.0,,,114.81,112.85,-36.70,66.50,1,q1_q17_dr25_tce,6046.00,189.00,-232.00,4486,54,-229,9720,3150,-1050,296286130,48224670,15714
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,4134435120,105,-105,1729793700,1900,-1900,7620,1390,-5320,314020,6730,-6730,6860000,18700,-18700,2.77,900,-300,1160.0,,,427.65,420.33,-136.70,40.20,2,q1_q17_dr25_tce,6046.00,189.00,-232.00,4486,54,-229,9720,3150,-1050,296286130,48224670,15714
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,9920,0,0,0,0,2566588970,178,-178,1795543700,4610,-4610,7550,2120,-5230,242900,16500,-16500,2270000,16800,-16800,1.59,520,-170,1360.0,,,807.74,793.91,-258.20,15.00,3,q1_q17_dr25_tce,6046.00,189.00,-232.00,4486,54,-229,9720,3150,-1050,296286130,48224670,15714
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7361789580,213,-213,1322505300,2530,-2530,1.1690,7.1330,-440,502200,13600,-13600,2340000,5800,-5800,39.21,6450,-9670,1342.0,,,767.22,349.28,-365.49,47.70,1,q1_q17_dr25_tce,6227.00,111.00,-124.00,3986,182,-98,1.9580,3220,-4830,298864350,42151569,12660
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.2000,0,0,0,0,16068646740,109,-109,1736219370,517,-517,520,2620,-520,353470,2410,-2410,49100000,33300,-33300,5.76,220,-490,600.0,,,30.75,4.46,-6.66,161.90,1,q1_q17_dr25_tce,5031.00,75.00,-83.00,4485,83,-28,8480,330,-720,286999480,48375790,15841
