toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1000.01,50365310,FP,07h29m25.85s,1123577080,-12d41m45.46s,-126959600,-59640000,85,-85,0,-760000,72,-72,0,24592296300460,1657,-1657,0,21713484,2637,-2637,0,20172196,3195879,-3195879,0,6568860989,377782100,-377782100,0,58181633,19105465,-19105465,0,226019485814,,,,31272040524,,,,96040000,13,-13,0,4857350000,119515000,-119515000,0,102490000000,2647000000,-2647000000,0,41900000,700000,-700000,0,21698600,725729,-725729,0,2019-07-24 15:58:33,2024-09-09 10:08:01
1001.01,88863718,PC,08h10m19.31s,1225804650,-05d30m49.87s,-55138520,-49560000,102,-102,0,-155550000,72,-72,0,24599879488730,1916,-1916,0,19316462,53,-53,0,31660000,6470000,-6470000,0,12860000000,11864900000,-11864900000,0,112154000,26242000,-26242000,0,444645000000,,,,40450000000,,,,94234400,6,-6,0,2958620000,59100000,-59100000,0,70700000000,1264000000,-1264000000,0,40300000,900000,-900000,0,20100000,900000,-900000,0,2019-07-24 15:58:33,2023-04-03 14:31:04
1002.01,124709665,FP,06h58m54.47s,1047269660,-10d34m49.64s,-105804550,-14620000,206,-206,0,-22490000,206,-206,0,24592246878020,625,-625,0,18675574,30,-30,0,14080000,1840000,-1840000,0,15000000000,17584000,-17584000,0,237529000,,,0,28606100000,,,,20370000000,,,,92995010,58,-58,0,9431090000,1063330000,-1063330000,0,89240000000,1240000000,-1240000000,0,,,,0,57300000,,,0,2019-07-24 15:58:33,2022-07-11 16:02:02
1003.01,106997505,FP,07h22m14.39s,1105599450,-25d12m25.26s,-252070170,-9390000,41,-41,0,16400000,55,-55,0,24584933957000,5350,-5350,0,27432300,10800,-10800,0,31670000,6420000,-6420000,0,3834100000,7819880,-7819880,0,,,,0,11773600000,,,,16310000000,,,,93003000,37,-37,0,77281700000,18995700000,-18995700000,0,53885000000,5670000000,-5670000000,0,41500000,16400000,-16400000,0,,,,0,2019-07-24 15:58:33,2022-02-23 10:10:02
1004.01,238597883,FP,08h08m42.77s,1221781950,-48d48m10.12s,-488028110,-44960000,69,-69,0,93470000,62,-62,0,24599870472620,3748,-3748,0,35730141,128,-128,0,33700000,10290000,-10290000,0,7550000000,13065500000,-13065500000,0,113113000,32471400,-32471400,0,546793000000,,,,42600000000,,,,91355000,6,-6,0,3564370000,46175000,-46175000,0,92190000000,1711000000,-1711000000,0,41400000,700000,-700000,0,21500000,600000,-600000,0,2019-07-24 15:58:33,2024-09-09 10:08:01
1005.01,169904935,FP,08h02m49.15s,1207048110,-11d06m05.48s,-111015210,-269320000,1935,-1935,0,-29010000,2060,-2060,0,24599851568550,581,-581,0,45505945,31,-31,0,26540000,3390000,-3390000,0,37310000000,1237230000,-1237230000,0,71084100,4746110,-4746110,0,4147750000,,,,12570000000,,,,91309000,6,-6,0,1007110000,141210000,-141210000,0,56130000000,1799000000,-1799000000,0,,,,0,10900000,700000,-700000,0,2019-07-24 15:58:33,2025-07-08 10:08:01
1006.01,156115721,FP,08h17m26.22s,1243592390,-27d16m24.68s,-272735210,-291000000,2600,-2600,0,-68000000,2200,-2200,0,24592299845790,2159,-2159,0,25047918,4076,-4076,0,43797563,1036554,-1036554,0,22705402194,813808800,-813808800,0,86950898,84387660,-84387660,0,17509326350,,,,16498220699,,,,92386000,6,-6,0,,,,0,66160000000,2000000000,-2000000000,0,,,,0,15342900,14887000,-14887000,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1007.01,65212867,PC,07h31m00.57s,1127523930,-04d27m48.09s,-44633590,3570000,58,-58,0,33990000,45,-45,0,24592479306950,1300,-1300,0,69989206,137,-137,0,39530000,4370000,-4370000,0,28400000000,9436180,-9436180,0,147752000,7647050,-7647050,0,4487440000,,,,12820000000,,,,88775900,6,-6,0,2832910000,30025000,-30025000,0,65960000000,1392000000,-1392000000,0,37100000,900000,-900000,0,27000000,1300000,-1300000,0,2019-07-24 15:58:33,2021-10-29 12:59:15
1008.01,440801822,FP,07h17m31.88s,1093828390,+13d23m42.79s,133952190,-179000000,1100,-1100,0,13000000,1000,-1000,0,24602582361220,2805,-2805,0,20483755,55,-55,0,27670000,8610000,-8610000,0,4830000000,419400000,-419400000,0,31962100,,,0,56444000000,,,,,,,,89362000,12,-12,0,1442970000,,,0,68585000000,5846000000,-5846000000,0,42000000,19000000,-19000000,0,15700000,,,0,2019-07-24 15:58:33,2023-12-08 16:02:02
1009.01,107782586,PC,07h26m40.28s,1116678450,-24d27m43.6s,-244621110,-32970000,319,-319,0,48490000,358,-358,0,24592292309240,389,-389,0,19600277,25,-25,0,20065257,505910,-505910,0,17076272693,496012230,-496012230,0,,,,0,10633422958,,,,14564246534,,,,84331000,28,-28,0,8661470000,1720970000,-1720970000,0,88687000000,8098000000,-8098000000,0,,,,0,,,,0,2019-07-24 15:58:33,2024-01-17 10:08:02
